Territorial emissions in tCO₂/person,,,,
,Mongolia,Netherlands,Norway,
1960,1.322626068,6.389702637,3.653979316,
1961,1.376467867,6.50952271,3.694049438,
1962,1.885747358,7.055720451,3.863667527,
1963,1.488259001,7.621796032,4.081297044,
1964,1.851873658,7.986298536,4.376652548,
1965,1.725287283,8.178992295,4.401733848,
1966,1.675236286,8.33340911,5.206421291,
1967,1.794863449,8.482347135,5.101071732,
1968,2.0157574,8.913625935,5.532508206,
1969,2.125229914,8.989974497,5.768337587,
1970,2.199972177,10.87641626,7.219292456,
1971,2.283810357,10.6672611,6.960447461,
1972,2.401976779,11.82027316,7.473874581,
1973,2.475987817,12.28919426,7.69857114,
1974,2.592143466,11.79784834,6.947944738,
1975,2.729100466,11.16259851,7.636271899,
1976,2.870999893,12.29138251,8.2785893,
1977,3.15462609,11.80794058,8.238072237,
1978,3.566999285,12.17206494,8.037977662,
1979,3.787328471,13.31931463,8.50187826,
1980,4.037743406,12.50013889,7.777469935,
1981,3.803254446,11.54295065,7.757518254,
1982,3.767151926,9.337025977,7.512179427,
1983,3.817068168,9.558849984,7.738099275,
1984,3.432635981,9.976016358,8.166251433,
1985,4.687083278,10.12558537,7.774722423,
1986,4.870826717,9.869048762,8.346884756,
1987,5.185500682,10.3221324,7.930908643,
1988,5.542029472,9.863132606,8.454782378,
1989,4.93157144,10.88631317,8.07837762,
1990,4.529911406,10.88457811,8.252240409,
1991,5.436082464,11.37205628,7.850515007,
1992,4.892747309,11.2812127,8.023688942,
1993,4.049224974,11.20335299,8.334152726,
1994,3.417234772,11.18267344,8.728447804,
1995,3.363080142,11.21284539,8.821991805,
1996,3.366690242,11.73183635,9.477098078,
1997,3.197242724,11.21473867,9.448774928,
1998,3.168827864,11.2091936,9.436159142,
1999,3.08323533,10.8050239,9.544967417,
2000,3.032216922,10.81922381,9.376109113,
2001,3.156190586,11.08435957,9.63620651,
2002,3.285714801,10.98995207,9.376133375,
2003,3.151657054,11.15461285,9.616296622,
2004,3.349594495,11.2237594,9.632694195,
2005,3.327179199,10.93721242,9.35681444,
2006,3.59563342,10.59627114,9.405960455,
2007,4.589193531,10.53896986,9.679850229,
2008,4.524795483,10.67453102,9.36847169,
2009,4.884815126,10.30080173,8.920941133,
2010,5.096095496,10.97416598,9.329942015,
2011,7.787311521,10.12628108,9.033299479,
2012,12.53421403,9.858734122,8.812015646,
2013,15.28142775,9.774753026,8.761839979,
2014,10.20596158,9.287887677,8.750228448,
2015,7.853042534,9.612180711,8.765102047,
2016,8.459691275,9.617288208,8.531888118,
2017,11.02553916,9.426438866,8.368716972,
2018,14.32229106,9.148068713,8.358871454,
2019,14.61887806,8.783453247,8.001265454,
2020,11.25471453,7.839866536,7.663983997,
2021,11.42747646,7.99391099,7.59352962,
2022,11.15080012,7.137218178,7.509312574,
,,,,
SOURCES,,,,
